language,word,pronunciation,tone practice,tone distractor 1,tone distractor 2,tone distractor 3,meaning,example sentence,sentence pronunciation,sentence meaning,Level,group,tag,pack,notes
Taiwan Mandarin,哎,āi ,āi,ái,ǎi,ài,hey; sighing interjection,哎，我忘了帶鑰匙。,"āi, wǒ wàng le dài yàoshi.","哎, I forgot to bring my key.",B2,general,interjection,Core Content,
Taiwan Mandarin,唉,āi ,āi,ái,ǎi,ài,sigh; alas,唉，我忘了帶鑰匙。,"āi, wǒ wàng le dài yàoshi.","唉, I forgot to bring my key.",B2,general,interjection,Core Content,
Taiwan Mandarin,愛,ài ,ài,āi,ái,ǎi,to love; to like,我很愛我的家人。,wǒ hěn ài wǒ de jiārén.,I love my family very much.,B2,feelings,verb,Core Content,
Taiwan Mandarin,愛情,àiqíng ,àiqíng,āiqíng,àiqìng,ǎiqíng,romantic love,這部電影談到愛情。,zhè bù diànyǐng tán dào àiqíng.,This movie talks about romantic love.,B2,feelings,noun,Core Content,
Taiwan Mandarin,愛惜,àixí ,àixí,āixí,àixì,ǎixí,to cherish,我們需要先愛惜這件事。,wǒmen xūyào xiān àixí zhè jiàn shì.,We need to to cherish this matter first.,B2,general,verb,Core Content,
Taiwan Mandarin,愛心,àixīn ,àixīn,āixīn,àixǐn,ǎixīn,compassion; love,這部電影談到愛心。,zhè bù diànyǐng tán dào àixīn.,This movie talks about compassion; love.,B2,feelings,noun,Core Content,
Taiwan Mandarin,按,àn ,àn,ān,án,ǎn,to press; according to,請按這個按鈕。,qǐng àn zhège ànniǔ.,Please press this button.,B2,general,verb,Core Content,
Taiwan Mandarin,安定,āndìng ,āndìng,ándìng,āndíng,àndìng,stable; settled,這個情況很安定。,zhège qíngkuàng hěn āndìng.,This situation is stable; settled.,B2,general,adjective,Core Content,
Taiwan Mandarin,安靜,ānjìng ,ānjìng,ánjìng,ānjíng,ànjìng,quiet,這個情況很安靜。,zhège qíngkuàng hěn ānjìng.,This situation is quiet.,B2,general,adjective,Core Content,
Taiwan Mandarin,安排,ānpái ,ānpái,ánpái,ānpài,ànpái,to arrange,我會安排明天的會議。,wǒ huì ānpái míngtiān de huìyì.,I will arrange tomorrow's meeting.,B2,work,verb,Core Content,
Taiwan Mandarin,安心,ānxīn ,ānxīn,ánxīn,ānxǐn,ànxīn,to feel at ease,我們需要先安心這件事。,wǒmen xūyào xiān ānxīn zhè jiàn shì.,We need to to feel at ease this matter first.,B2,general,verb,Core Content,
Taiwan Mandarin,按照,ànzhào ,ànzhào,ānzhào,ànzháo,ǎnzhào,according to,請按照老師的說明做。,qǐng ànzhào lǎoshī de shuōmíng zuò.,Please follow the teacher's instructions.,B2,general,function,Core Content,
Taiwan Mandarin,把,bă ,bǎ,bà,bā,bá,ba disposal marker; to hold,我們需要先把這件事。,wǒmen xūyào xiān bǎ zhè jiàn shì.,We need to ba disposal marker; to hold this matter first.,B2,general,verb,Core Content,
Taiwan Mandarin,白,bái ,bái,bǎi,bài,bāi,white,這個情況很白。,zhège qíngkuàng hěn bái.,This situation is white.,B2,general,adjective,Core Content,
Taiwan Mandarin,白/白白,bái/báibái,bái/báibái,bǎi/báibái,bái/bàibái,bái/báibāi,white,這個情況很白。,zhège qíngkuàng hěn bái.,This situation is white.,B2,general,adjective,Core Content,
Taiwan Mandarin,白菜,báicài ,báicài,bǎicài,báicái,bāicài,bok choy; Chinese cabbage,我今天想買一些白菜。,wǒ jīntiān xiǎng mǎi yìxiē báicài.,I want to buy some bok choy; Chinese cabbage today.,B2,food,noun,Core Content,
Taiwan Mandarin,擺,băi ,bǎi,bài,bāi,bái,to place; to arrange,我會安排明天的會議。,wǒ huì ānpái míngtiān de huìyì.,I will arrange tomorrow's meeting.,B2,work,verb,Core Content,
Taiwan Mandarin,榜樣,băngyàng ,bǎngyàng,bàngyàng,bǎngyáng,bángyàng,role model,這個榜樣在生活中很常見。,zhège bǎngyàng zài shēnghuó zhōng hěn chángjiàn.,This role model is common in daily life.,B2,general,noun,Core Content,
Taiwan Mandarin,班機,bānjī ,bānjī,bánjī,bānjǐ,bànjī,flight,我們先確認班機的時間。,wǒmen xiān quèrèn bānjī de shíjiān.,We first confirm the time for the flight.,B2,travel,noun,Core Content,
Taiwan Mandarin,辦理,bànlĭ,bànlǐ,bānlǐ,bànlī,bǎnlǐ,to handle; to process,公司需要辦理這個問題。,gōngsī xūyào bànlǐ zhège wèntí.,The company needs to to handle; to process this problem.,B2,work,verb,Core Content,
Taiwan Mandarin,半天,bàntiān ,bàntiān,bāntiān,bàntiǎn,bǎntiān,half a day; a long time,這個半天過得很快。,zhège bàntiān guò de hěn kuài.,This half a day; a long time passed quickly.,B2,time,noun,Core Content,
Taiwan Mandarin,包,bāo ,bāo,báo,bǎo,bào,bag; to wrap,我們需要先包這件事。,wǒmen xūyào xiān bāo zhè jiàn shì.,We need to bag; to wrap this matter first.,B2,general,verb,Core Content,
Taiwan Mandarin,包含,bāohán ,bāohán,báohán,bāohàn,bàohán,to include,這個費用包含午餐。,zhège fèiyòng bāohán wǔcān.,This fee includes lunch.,B2,general,verb,Core Content,
Taiwan Mandarin,寶貝,băobèi,bǎobèi,bàobèi,bǎobéi,báobèi,treasure; baby,家裡的寶貝需要整理。,jiā lǐ de bǎobèi xūyào zhěnglǐ.,The treasure; baby at home needs to be organized.,B2,home and family,noun,Core Content,
Taiwan Mandarin,寶貴,băoguì ,bǎoguì,bàoguì,bǎoguí,báoguì,valuable,這個情況很寶貴。,zhège qíngkuàng hěn bǎoguì.,This situation is valuable.,B2,general,adjective,Core Content,
Taiwan Mandarin,保守,băoshŏu ,bǎoshǒu,bàoshǒu,bǎoshōu,báoshǒu,conservative,這個情況很保守。,zhège qíngkuàng hěn bǎoshǒu.,This situation is conservative.,B2,general,adjective,Core Content,
Taiwan Mandarin,保養,băoyăng ,bǎoyǎng,bàoyǎng,bǎoyāng,báoyǎng,to maintain; to take care of,我們需要先保養這件事。,wǒmen xūyào xiān bǎoyǎng zhè jiàn shì.,We need to to maintain; to take care of this matter first.,B2,health,verb,Core Content,
Taiwan Mandarin,保證/証,băozhèng ,bǎozhèng,bàozhèng,bǎozhéng,báozhèng,to guarantee,店員保證今天可以送到。,diànyuán bǎozhèng jīntiān kěyǐ sòng dào.,The clerk guarantees it can be delivered today.,B2,general,verb,Core Content,
Taiwan Mandarin,抱,bào,bào,bāo,báo,bǎo,to hug; to hold,我們需要先抱這件事。,wǒmen xūyào xiān bào zhè jiàn shì.,We need to to hug; to hold this matter first.,B2,general,verb,Core Content,
Taiwan Mandarin,抱怨,bàoyuàn ,bàoyuàn,bāoyuàn,bàoyuán,bǎoyuàn,to complain,客人正在抱怨服務太慢。,kèrén zhèngzài bàoyuàn fúwù tài màn.,The customer is complaining that the service is too slow.,B2,feelings,verb,Core Content,
