language,word,pronunciation,tone practice,tone distractor 1,tone distractor 2,tone distractor 3,meaning,example sentence,sentence pronunciation,sentence meaning,Level,group,tag,pack,notes
Taiwan Mandarin,對象,duìxiàng ,duìxiàng,duīxiàng,duìxiáng,duǐxiàng,target; object; person one is dating,這次調查的對象是大學生。,zhè cì diàochá de duìxiàng shì dàxuéshēng.,The target of this survey is college students.,B2,research,noun,Core Content,
Taiwan Mandarin,頓,dùn ,dùn,dūn,dún,dǔn,meal; pause; classifier for meals,我今天只吃了一頓飯。,wǒ jīntiān zhǐ chī le yí dùn fàn.,I only ate one meal today.,B2,measure,measure word,Core Content,
Taiwan Mandarin,多多(˙ㄉㄨㄛ)少少,duōduoshăoshăo ,duōduoshǎoshǎo,duóduoshǎoshǎo,duōduoshāoshǎo,duōduoshǎosháo,more or less; to some extent,搬家以後，生活多多少少會改變。,"bānjiā yǐhòu, shēnghuó duōduoshǎoshǎo huì gǎibiàn.","After moving, life will more or less change.",B2,function,adverb,Core Content,
Taiwan Mandarin,嗯(˙ㄣ),en ,en,ēn,én,ěn,mm; yes; thinking sound,嗯，我覺得你的想法不錯。,"en, wǒ juéde nǐ de xiǎngfǎ búcuò.","Mm, I think your idea is pretty good.",B2,communication,interjection,Core Content,
Taiwan Mandarin,而,ér ,ér,ěr,èr,ēr,and; but; while,他年紀小而懂事。,tā niánjì xiǎo ér dǒngshì.,He is young but sensible.,B2,function,conjunction,Core Content,
Taiwan Mandarin,兒童,értóng ,értóng,ěrtóng,értòng,ērtóng,children,這個公園很適合兒童。,zhège gōngyuán hěn shìhé értóng.,This park is very suitable for children.,B2,people,noun,Core Content,
Taiwan Mandarin,發,fā,fā,fá,fǎ,fà,to send out; to issue,老師發給每個學生一張表。,lǎoshī fā gěi měi ge xuéshēng yì zhāng biǎo.,The teacher gave each student a form.,B2,actions,verb,Core Content,
Taiwan Mandarin,發表,fābiăo ,fābiǎo,fábiǎo,fābiāo,fàbiǎo,to publish; to present,他在會議上發表自己的看法。,tā zài huìyì shàng fābiǎo zìjǐ de kànfǎ.,He presented his opinion at the meeting.,B2,communication,verb,Core Content,
Taiwan Mandarin,發財,fācái ,fācái,fácái,fācài,fàcái,to get rich,很多人希望新年發財。,hěn duō rén xīwàng xīnnián fācái.,Many people hope to get rich in the new year.,B2,money,verb,Core Content,
Taiwan Mandarin,發出,fāchū ,fāchū,fáchū,fāchǔ,fàchū,to emit; to send out,機器發出奇怪的聲音。,jīqì fāchū qíguài de shēngyīn.,The machine made a strange sound.,B2,events,verb,Core Content,
