language,word,pronunciation,tone practice,tone distractor 1,tone distractor 2,tone distractor 3,meaning,example sentence,sentence pronunciation,sentence meaning,Level,group,tag,pack,notes
Taiwan Mandarin,堅強,jiānqiáng ,jiānqiáng,jiánqiáng,jiānqiàng,jiànqiáng,strong; resilient,經過那段很難的時間以後，她變得更堅強，也更願意幫助別人。,"jīngguò nà duàn hěn nán de shíjiān yǐhòu, tā biàn de gèng jiānqiáng, yě gèng yuànyì bāngzhù biérén.","After that difficult period, she became stronger and more willing to help others.",B2,personal qualities,adjective,Core Content,
Taiwan Mandarin,減輕,jiănqīng ,jiǎnqīng,jiànqīng,jiǎnqǐng,jiánqīng,to reduce; to lighten,為了減輕父母的負擔，他週末開始在咖啡店打工。,"wèile jiǎnqīng fùmǔ de fùdān, tā zhōumò kāishǐ zài kāfēidiàn dǎgōng.","To reduce his parents' burden, he started working part-time at a cafe on weekends.",B2,change,verb,Core Content,
Taiwan Mandarin,減少,jiănshăo ,jiǎnshǎo,jiànshǎo,jiǎnshāo,jiánshǎo,to decrease; to reduce,如果我們每天少用一點塑膠，就能減少很多不必要的垃圾。,"rúguǒ wǒmen měitiān shǎo yòng yìdiǎn sùjiāo, jiù néng jiǎnshǎo hěn duō bù bìyào de lèsè.","If we use a little less plastic every day, we can reduce a lot of unnecessary trash.",B2,change,verb,Core Content,
Taiwan Mandarin,簡直,jiănzhí ,jiǎnzhí,jiànzhí,jiǎnzhì,jiánzhí,simply; practically,這家店的麵包剛出爐時，香味簡直讓人無法拒絕。,"zhè jiā diàn de miànbāo gāng chūlú shí, xiāngwèi jiǎnzhí ràng rén wúfǎ jùjué.","When this shop's bread has just come out of the oven, the smell is simply impossible to resist.",B2,degree,adverb,Core Content,
Taiwan Mandarin,建立,jiànlì ,jiànlì,jiānlì,jiànlí,jiǎnlì,to establish; to build,學語言不只要背單字，還要建立每天使用的習慣。,"xué yǔyán bù zhǐ yào bèi dānzì, hái yào jiànlì měitiān shǐyòng de xíguàn.",Learning a language is not only about memorizing words; you also need to build a habit of using it daily.,B2,development,verb,Core Content,
Taiwan Mandarin,建設,jiànshè ,jiànshè,jiānshè,jiànshé,jiǎnshè,construction; to build,捷運線開通以後，這個地區的交通建設改善了很多。,"jiéyùn xiàn kāitōng yǐhòu, zhège dìqū de jiāotōng jiànshè gǎishàn le hěn duō.","After the metro line opened, transportation infrastructure in this area improved a lot.",B2,society,noun,Core Content,
Taiwan Mandarin,驕傲,jiāoào ,jiāoào,jiáoào,jiāoáo,jiàoào,proud,看到學生能用中文自然地表達想法，老師感到非常驕傲。,"kàndào xuéshēng néng yòng zhōngwén zìrán de biǎodá xiǎngfǎ, lǎoshī gǎndào fēicháng jiāoào.",Seeing students express their ideas naturally in Chinese made the teacher very proud.,B2,emotion,adjective,Core Content,
Taiwan Mandarin,交流,jiāoliú ,jiāoliú,jiáoliú,jiāoliù,jiàoliú,to exchange; communication,這次交流活動讓台灣學生和日本學生一起討論環境問題。,zhè cì jiāoliú huódòng ràng táiwān xuéshēng hé rìběn xuéshēng yìqǐ tǎolùn huánjìng wèntí.,This exchange activity let Taiwanese and Japanese students discuss environmental issues together.,B2,communication,verb,Core Content,
Taiwan Mandarin,郊區,jiāoqū ,jiāoqū,jiáoqū,jiāoqǔ,jiàoqū,suburb; outskirts,他們搬到郊區以後，雖然通勤時間變長了，但是生活安靜多了。,"tāmen bān dào jiāoqū yǐhòu, suīrán tōngqín shíjiān biàn cháng le, dànshì shēnghuó ānjìng duō le.","After moving to the suburbs, their commute became longer, but life became much quieter.",B2,places,noun,Core Content,
Taiwan Mandarin,交友,jiāoyŏu ,jiāoyǒu,jiáoyǒu,jiāoyōu,jiàoyǒu,to make friends,參加社團是大學生交友和練習合作的好機會。,cānjiā shètuán shì dàxuéshēng jiāoyǒu hé liànxí hézuò de hǎo jīhuì.,Joining clubs is a good opportunity for university students to make friends and practice cooperation.,B2,relationships,verb,Core Content,
Taiwan Mandarin,角度,jiăodù ,jiǎodù,jiàodù,jiǎodú,jiáodù,angle; perspective,如果從孩子的角度來看，這個規定可能真的不太公平。,"rúguǒ cóng háizi de jiǎodù lái kàn, zhège guīdìng kěnéng zhēn de bù tài gōngpíng.","If you look at it from a child's perspective, this rule may really not be very fair.",B2,thinking,noun,Core Content,
