language,word,pronunciation,tone practice,tone distractor 1,tone distractor 2,tone distractor 3,meaning,example sentence,sentence pronunciation,sentence meaning,Level,group,tag,pack,notes
Taiwan Mandarin,承認,chéngrèn ,chéngrèn,chěngrèn,chéngrén,chēngrèn,to admit; to acknowledge,他承認自己做錯了。,tā chéngrèn zìjǐ zuò cuò le.,He admitted that he made a mistake.,B2,communication,verb,Core Content,
Taiwan Mandarin,誠實,chéngshí ,chéngshí,chěngshí,chéngshì,chēngshí,honest,誠實的人比較容易得到信任。,chéngshí de rén bǐjiào róngyì dédào xìnrèn.,Honest people are more likely to gain trust.,B2,character,adjective,Core Content,
Taiwan Mandarin,成熟,chéngshóu ,chéngshóu,chěngshóu,chéngshòu,chēngshóu,mature; ripe,經過這件事以後，他變得更成熟。,"jīngguò zhè jiàn shì yǐhòu, tā biàn de gèng chéngshóu.","After this matter, he became more mature.",B2,character,adjective,Core Content,
Taiwan Mandarin,成長,chéngzhăng ,chéngzhǎng,chěngzhǎng,chéngzhāng,chēngzhǎng,to grow; growth,孩子在安全的環境中成長。,háizi zài ānquán de huánjìng zhōng chéngzhǎng.,Children grow up in a safe environment.,B2,life,verb,Core Content,
Taiwan Mandarin,吃喝玩樂,chīhēwánlè ,chīhēwánlè,chíhēwánlè,chīhěwánlè,chīhēwānlè,"eating, drinking, and having fun",旅行不只是吃喝玩樂，也可以了解文化。,"lǚxíng bù zhǐ shì chīhēwánlè, yě kěyǐ liǎojiě wénhuà.","Travel is not only eating, drinking, and having fun; it can also help you understand culture.",B2,leisure,phrase,Core Content,
Taiwan Mandarin,蟲(子),chóng(zi),chóng(zi),chǒng(zi),chòng(zi),chōng(zi),insect; bug,房間裡有一隻小蟲子。,fángjiān lǐ yǒu yì zhī xiǎo chóngzi.,There is a small bug in the room.,B2,nature,noun,Core Content,
Taiwan Mandarin,充實,chōngshí ,chōngshí,chóngshí,chōngshì,chòngshí,full; enriching,這個週末過得很充實。,zhège zhōumò guò de hěn chōngshí.,This weekend was very fulfilling.,B2,life,adjective,Core Content,
Taiwan Mandarin,重新,chóngxīn ,chóngxīn,chǒngxīn,chóngxǐn,chōngxīn,again; anew,請重新寫一次答案。,qǐng chóngxīn xiě yí cì dáàn.,Please write the answer again.,B2,function,adverb,Core Content,
Taiwan Mandarin,醜,chŏu,chǒu,chòu,chōu,chóu,ugly,這張照片拍得有點醜。,zhè zhāng zhàopiàn pāi de yǒudiǎn chǒu.,This photo came out a little ugly.,B2,description,adjective,Core Content,
Taiwan Mandarin,抽,chōu ,chōu,chóu,chǒu,chòu,to draw; to pull out,他從口袋裡抽出一張票。,tā cóng kǒudài lǐ chōu chū yì zhāng piào.,He pulled a ticket out of his pocket.,B2,actions,verb,Core Content,
