language,word,pronunciation,tone practice,tone distractor 1,tone distractor 2,tone distractor 3,meaning,example sentence,sentence pronunciation,sentence meaning,Level,group,tag,pack,notes
Taiwan Mandarin,哎,āi ,āi,ái,ǎi,ài,hey; interjection,哎，你怎麼現在才來？,"āi, nǐ zěnme xiànzài cái lái?","Hey, why are you only coming now?",B2,communication,interjection,Core Content,
Taiwan Mandarin,唉,āi ,āi,ái,ǎi,ài,sigh; alas,唉，今天的事情真多。,"āi, jīntiān de shìqing zhēn duō.","Sigh, there are really a lot of things today.",B2,communication,interjection,Core Content,
Taiwan Mandarin,愛,ài ,ài,āi,ái,ǎi,to love; to like,我愛這座城市的生活。,wǒ ài zhè zuò chéngshì de shēnghuó.,I love life in this city.,B2,feelings,verb,Core Content,
Taiwan Mandarin,愛情,àiqíng ,àiqíng,āiqíng,àiqìng,ǎiqíng,romantic love,這部電影在談愛情和家庭。,zhè bù diànyǐng zài tán àiqíng hé jiātíng.,This movie talks about romantic love and family.,B2,relationships,noun,Core Content,
Taiwan Mandarin,愛惜,àixí ,àixí,āixí,àixì,ǎixí,to cherish; to take good care of,我們應該愛惜水資源。,wǒmen yīnggāi àixí shuǐ zīyuán.,We should cherish water resources.,B2,environment,verb,Core Content,
Taiwan Mandarin,愛心,àixīn ,àixīn,āixīn,àixǐn,ǎixīn,compassion; caring heart,她很有愛心，常常幫助老人。,"tā hěn yǒu àixīn, chángcháng bāngzhù lǎorén.",She is very caring and often helps elderly people.,B2,relationships,noun,Core Content,
Taiwan Mandarin,按,àn ,àn,ān,án,ǎn,to press; according to,請按這個按鈕開始。,qǐng àn zhège ànniǔ kāishǐ.,Please press this button to start.,B2,actions,verb,Core Content,
Taiwan Mandarin,安定,āndìng ,āndìng,ándìng,āndíng,àndìng,stable; settled,找到工作以後，他的生活比較安定。,"zhǎodào gōngzuò yǐhòu, tā de shēnghuó bǐjiào āndìng.","After finding a job, his life became more stable.",B2,life,adjective,Core Content,
Taiwan Mandarin,安靜,ānjìng ,ānjìng,ánjìng,ānjíng,ànjìng,quiet,圖書館裡很安靜。,túshūguǎn lǐ hěn ānjìng.,It is quiet in the library.,B2,description,adjective,Core Content,
Taiwan Mandarin,安排,ānpái ,ānpái,ánpái,ānpài,ànpái,to arrange,我已經安排好明天的行程。,wǒ yǐjīng ānpái hǎo míngtiān de xíngchéng.,I have already arranged tomorrow’s schedule.,B2,planning,verb,Core Content,
